      No     Day     Mon    Year  Qobs_0009304070  Qsim_0009304070
     489       3       5    1956        4.8100000        4.3531421
     490       4       5    1956        4.6100000        4.2104511
     491       5       5    1956        4.4200000        4.0807290
     492       6       5    1956        4.4200000        3.9599892
     493       7       5    1956        4.2500000        3.8484228
     494       8       5    1956        4.0800000        3.7461828
     495       9       5    1956        3.9100000        3.6521109
     496      10       5    1956        4.0800000        3.5655434
     497      11       5    1956        4.0800000        3.4953568
     498      12       5    1956        4.0800000        3.4562739
     499      13       5    1956        4.0800000        3.4631971
     500      14       5    1956        3.9100000        3.4007749
     501      15       5    1956        3.9100000        3.3505842
     502      16       5    1956        3.9100000        3.2844990
     503      17       5    1956        4.0800000        3.2179809
     504      18       5    1956        4.2500000        3.2694923
     505      19       5    1956        4.0800000        3.2758853
     506      20       5    1956        4.0800000        3.2331090
     507      21       5    1956        3.5700000        3.1666150
     508      22       5    1956        3.7400000        3.0985717
     509      23       5    1956        3.7400000        3.0352426
     510      24       5    1956        3.7400000        2.9757474
     511      25       5    1956        3.7400000        2.9196464
     512      26       5    1956        3.7400000        2.8665788
     513      27       5    1956        3.5700000        2.8162036
     514      28       5    1956        3.5700000        2.7681927
     515      29       5    1956        3.7400000        2.7223054
     516      30       5    1956        3.7400000        2.6783415
     517      31       5    1956        3.9100000        2.6934576
     518       1       6    1956        4.0800000        2.8133983
     519       2       6    1956        3.9100000        2.5837470
     520       3       6    1956        3.9100000        2.5467152
     521       4       6    1956        3.9100000        2.5090694
     522       5       6    1956        3.9100000        2.4714625
     523       6       6    1956        3.9100000        2.4350690
     524       7       6    1956        3.5700000        2.5932297
     525       8       6    1956        5.0100000        3.6652969
     526       9       6    1956        4.2500000        4.7200562
     527      10       6    1956        4.8100000        4.8835732
     528      11       6    1956        6.5400000        5.9869792
     529      12       6    1956        6.0700000        5.6511772
     530      13       6    1956        4.6100000        4.8034067
     531      14       6    1956        4.2500000        4.8523477
     532      15       6    1956        4.8100000        4.7332529
     533      16       6    1956       11.0000000        6.7763591
     534      17       6    1956        7.2600000        7.7267156
     535      18       6    1956        5.6300000        8.1309302
     536      19       6    1956        5.8500000        6.8245263
     537      20       6    1956        5.0100000        5.4426027
     538      21       6    1956        4.8100000        4.9875815
     539      22       6    1956        4.6100000        4.6913726
     540      23       6    1956        4.8100000        4.4471377
     541      24       6    1956        4.8100000        4.3360391
     542      25       6    1956        6.3000000        5.2104385
     543      26       6    1956        5.8500000        6.0676824
     544      27       6    1956        5.4200000        5.9014352
     545      28       6    1956        5.2100000        5.4459619
